거래일시,종목코드,매매구분,수량,체결단가(USD),실현손익(USD),실현손익(KRW환산),수익률(%),매매사유
2026-03-11 15:30:00,COST,BUY,1,89.47,0.00,0,0.00,BUY_ENTRY
2026-03-11 21:15:00,COST,SELL,1,92.71,3.24,0,0.03,PROFIT_TAKE
2026-03-12 15:30:00,QQQ,BUY,1,203.63,0.00,0,0.00,BUY_ENTRY
2026-03-12 21:15:00,QQQ,SELL,1,198.19,-5.44,-0,-0.03,STOP_LOSS
2026-03-14 15:30:00,GIS,BUY,1,111.84,0.00,0,0.00,BUY_ENTRY
2026-03-14 21:15:00,GIS,SELL,1,105.09,-6.75,-0,-0.06,STOP_LOSS
2026-03-16 15:30:00,STRC,BUY,1,191.94,0.00,0,0.00,BUY_ENTRY
2026-03-16 21:15:00,STRC,SELL,1,195.09,3.15,0,0.02,PROFIT_TAKE
2026-03-17 15:30:00,PANW,BUY,1,76.46,0.00,0,0.00,BUY_ENTRY
2026-03-17 21:15:00,PANW,SELL,1,71.73,-4.73,-0,-0.07,STOP_LOSS
2026-03-19 15:30:00,ARM,BUY,1,118.05,0.00,0,0.00,BUY_ENTRY
2026-03-19 21:15:00,ARM,SELL,1,122.59,4.54,0,0.04,PROFIT_TAKE
2026-03-20 15:30:00,MDT,BUY,1,68.08,0.00,0,0.00,BUY_ENTRY
2026-03-20 21:15:00,MDT,SELL,1,64.90,-3.18,-0,-0.05,STOP_LOSS
2026-03-22 15:30:00,NVDA,BUY,1,217.82,0.00,0,0.00,BUY_ENTRY
2026-03-22 21:15:00,NVDA,SELL,1,212.55,-5.27,-0,-0.02,STOP_LOSS
2026-03-23 15:30:00,GIS,BUY,1,168.24,0.00,0,0.00,BUY_ENTRY
2026-03-23 21:15:00,GIS,SELL,1,163.46,-4.78,-0,-0.03,STOP_LOSS
2026-03-25 15:30:00,MSFT,BUY,1,113.84,0.00,0,0.00,BUY_ENTRY
2026-03-25 21:15:00,MSFT,SELL,1,116.42,2.58,0,0.02,PROFIT_TAKE
2026-03-27 15:30:00,GIS,BUY,1,150.25,0.00,0,0.00,BUY_ENTRY
2026-03-27 21:15:00,GIS,SELL,1,145.33,-4.92,-0,-0.03,STOP_LOSS
2026-03-28 15:30:00,ARM,BUY,1,157.84,0.00,0,0.00,BUY_ENTRY
2026-03-28 21:15:00,ARM,SELL,1,162.90,5.06,0,0.03,PROFIT_TAKE
2026-03-30 15:30:00,CRWD,BUY,1,74.83,0.00,0,0.00,BUY_ENTRY
2026-03-30 21:15:00,CRWD,SELL,1,70.20,-4.63,-0,-0.07,STOP_LOSS
2026-03-31 15:30:00,GOOGL,BUY,1,135.56,0.00,0,0.00,BUY_ENTRY
2026-03-31 21:15:00,GOOGL,SELL,1,129.63,-5.93,-0,-0.05,STOP_LOSS
2026-04-02 15:30:00,ARM,BUY,1,177.81,0.00,0,0.00,BUY_ENTRY
2026-04-02 21:15:00,ARM,SELL,1,180.98,3.17,0,0.02,PROFIT_TAKE
2026-04-04 15:30:00,SOFI,BUY,1,82.80,0.00,0,0.00,BUY_ENTRY
2026-04-04 21:15:00,SOFI,SELL,1,78.87,-3.93,-0,-0.05,STOP_LOSS
2026-04-05 15:30:00,NVDA,BUY,2,53.55,0.00,0,0.00,BUY_ENTRY
2026-04-05 21:15:00,NVDA,SELL,2,49.97,-7.17,-0,-0.07,STOP_LOSS
2026-04-07 15:30:00,SMCI,BUY,1,175.76,0.00,0,0.00,BUY_ENTRY
2026-04-07 21:15:00,SMCI,SELL,1,180.71,4.95,0,0.03,PROFIT_TAKE
2026-04-08 15:30:00,COST,BUY,1,208.18,0.00,0,0.00,BUY_ENTRY
2026-04-08 21:15:00,COST,SELL,1,204.30,-3.88,-0,-0.02,STOP_LOSS
2026-04-10 15:30:00,ARM,BUY,1,119.89,0.00,0,0.00,BUY_ENTRY
2026-04-10 21:15:00,ARM,SELL,1,113.33,-6.56,-0,-0.06,STOP_LOSS
2026-04-12 15:30:00,ARM,BUY,1,177.89,0.00,0,0.00,BUY_ENTRY
2026-04-12 21:15:00,ARM,SELL,1,181.59,3.70,0,0.02,PROFIT_TAKE
2026-04-13 15:30:00,NVDA,BUY,1,190.46,0.00,0,0.00,BUY_ENTRY
2026-04-13 21:15:00,NVDA,SELL,1,186.28,-4.18,-0,-0.02,STOP_LOSS
2026-04-15 15:30:00,GIS,BUY,1,113.99,0.00,0,0.00,BUY_ENTRY
2026-04-15 21:15:00,GIS,SELL,1,107.69,-6.30,-0,-0.06,STOP_LOSS
2026-04-16 15:30:00,PANW,BUY,1,66.84,0.00,0,0.00,BUY_ENTRY
2026-04-16 21:15:00,PANW,SELL,1,71.77,4.93,0,0.07,PROFIT_TAKE
2026-04-18 15:30:00,AAPL,BUY,1,220.41,0.00,0,0.00,BUY_ENTRY
2026-04-18 21:15:00,AAPL,SELL,1,213.45,-6.96,-0,-0.03,STOP_LOSS
2026-04-19 15:30:00,ARM,BUY,1,204.02,0.00,0,0.00,BUY_ENTRY
2026-04-19 21:15:00,ARM,SELL,1,208.03,4.01,0,0.02,PROFIT_TAKE
2026-04-21 15:30:00,ARM,BUY,1,97.56,0.00,0,0.00,BUY_ENTRY
2026-04-21 21:15:00,ARM,SELL,1,94.03,-3.53,-0,-0.04,STOP_LOSS
2026-04-23 15:30:00,TQQQ,BUY,2,52.95,0.00,0,0.00,BUY_ENTRY
2026-04-23 21:15:00,TQQQ,SELL,2,49.27,-7.36,-0,-0.07,STOP_LOSS
2026-04-24 15:30:00,AMWD,BUY,5,19.29,0.00,0,0.00,BUY_ENTRY
2026-04-24 21:15:00,AMWD,SELL,5,20.04,3.77,0,0.04,PROFIT_TAKE
2026-04-26 15:30:00,AMWD,BUY,1,145.58,0.00,0,0.00,BUY_ENTRY
2026-04-26 21:15:00,AMWD,SELL,1,142.03,-3.55,-0,-0.03,STOP_LOSS
2026-04-27 15:30:00,GIS,BUY,1,150.69,0.00,0,0.00,BUY_ENTRY
2026-04-27 21:15:00,GIS,SELL,1,144.21,-6.48,-0,-0.04,STOP_LOSS
2026-04-29 15:30:00,META,BUY,1,149.74,0.00,0,0.00,BUY_ENTRY
2026-04-29 21:15:00,META,SELL,1,153.70,3.96,0,0.03,PROFIT_TAKE
2026-05-01 15:30:00,MSFT,BUY,5,22.23,0.00,0,0.00,BUY_ENTRY
2026-05-01 21:15:00,MSFT,SELL,5,21.03,-6.02,-0,-0.06,STOP_LOSS
2026-05-02 15:30:00,MDT,BUY,1,168.88,0.00,0,0.00,BUY_ENTRY
2026-05-02 21:15:00,MDT,SELL,1,173.91,5.03,0,0.03,PROFIT_TAKE
2026-05-04 15:30:00,ARM,BUY,1,165.42,0.00,0,0.00,BUY_ENTRY
2026-05-04 21:15:00,ARM,SELL,1,157.95,-7.47,-0,-0.05,STOP_LOSS
2026-05-05 15:30:00,CRWD,BUY,1,70.21,0.00,0,0.00,BUY_ENTRY
2026-05-05 21:15:00,CRWD,SELL,1,64.59,-5.62,-0,-0.09,STOP_LOSS
2026-05-07 15:30:00,STRC,BUY,1,191.68,0.00,0,0.00,BUY_ENTRY
2026-05-07 21:15:00,STRC,SELL,1,195.20,3.52,0,0.02,PROFIT_TAKE
2026-05-09 15:30:00,AMWD,BUY,1,106.91,0.00,0,0.00,BUY_ENTRY
2026-05-09 21:15:00,AMWD,SELL,1,103.56,-3.35,-0,-0.03,STOP_LOSS
2026-05-10 15:30:00,MSFT,BUY,1,184.04,0.00,0,0.00,BUY_ENTRY
2026-05-10 21:15:00,MSFT,SELL,1,176.69,-7.35,-0,-0.04,STOP_LOSS
2026-05-12 15:30:00,GOOGL,BUY,1,118.41,0.00,0,0.00,BUY_ENTRY
2026-05-12 21:15:00,GOOGL,SELL,1,121.54,3.13,0,0.03,PROFIT_TAKE
2026-05-13 15:30:00,MSFT,BUY,1,127.55,0.00,0,0.00,BUY_ENTRY
2026-05-13 21:15:00,MSFT,SELL,1,124.01,-3.54,-0,-0.03,STOP_LOSS
2026-05-15 15:30:00,PLTR,BUY,1,208.64,0.00,0,0.00,BUY_ENTRY
2026-05-15 21:15:00,PLTR,SELL,1,211.76,3.12,0,0.01,PROFIT_TAKE
2026-05-17 15:30:00,AMWD,BUY,3,31.73,0.00,0,0.00,BUY_ENTRY
2026-05-17 21:15:00,AMWD,SELL,3,30.28,-4.34,-0,-0.05,STOP_LOSS
2026-05-18 15:30:00,COST,BUY,1,214.42,0.00,0,0.00,BUY_ENTRY
2026-05-18 21:15:00,COST,SELL,1,206.91,-7.51,-0,-0.04,STOP_LOSS
2026-05-20 15:30:00,PLTR,BUY,1,119.17,0.00,0,0.00,BUY_ENTRY
2026-05-20 21:15:00,PLTR,SELL,1,122.08,2.91,0,0.02,PROFIT_TAKE
2026-05-21 15:30:00,GOOGL,BUY,1,117.37,0.00,0,0.00,BUY_ENTRY
2026-05-21 21:15:00,GOOGL,SELL,1,110.03,-7.34,-0,-0.07,STOP_LOSS
2026-05-23 15:30:00,ARM,BUY,1,206.02,0.00,0,0.00,BUY_ENTRY
2026-05-23 21:15:00,ARM,SELL,1,209.76,3.74,0,0.02,PROFIT_TAKE
2026-05-24 15:30:00,AAPL,BUY,2,53.41,0.00,0,0.00,BUY_ENTRY
2026-05-24 21:15:00,AAPL,SELL,2,50.78,-5.25,-0,-0.05,STOP_LOSS
2026-05-26 15:30:00,TQQQ,BUY,1,141.31,0.00,0,0.00,BUY_ENTRY
2026-05-26 21:15:00,TQQQ,SELL,1,144.67,3.36,0,0.02,PROFIT_TAKE
2026-05-28 15:30:00,AMD,BUY,1,158.57,0.00,0,0.00,BUY_ENTRY
2026-05-28 21:15:00,AMD,SELL,1,155.70,-2.87,-0,-0.02,STOP_LOSS
2026-05-29 15:30:00,QQQ,BUY,4,28.31,0.00,0,0.00,BUY_ENTRY
2026-05-29 21:15:00,QQQ,SELL,4,26.83,-5.93,-0,-0.06,STOP_LOSS
2026-05-31 15:30:00,AAPL,BUY,4,28.14,0.00,0,0.00,BUY_ENTRY
2026-05-31 21:15:00,AAPL,SELL,4,29.05,3.65,0,0.03,PROFIT_TAKE
2026-06-01 15:30:00,NVDA,BUY,1,116.86,0.00,0,0.00,BUY_ENTRY
2026-06-01 21:15:00,NVDA,SELL,1,110.36,-6.50,-0,-0.06,STOP_LOSS
2026-06-03 15:30:00,SOFI,BUY,1,112.66,0.00,0,0.00,BUY_ENTRY
2026-06-03 21:15:00,SOFI,SELL,1,116.77,4.11,0,0.04,PROFIT_TAKE
2026-06-05 15:30:00,PLTR,BUY,2,48.48,0.00,0,0.00,BUY_ENTRY
2026-06-05 21:15:00,PLTR,SELL,2,45.83,-5.31,-0,-0.06,STOP_LOSS
2026-06-06 15:30:00,PANW,BUY,1,202.15,0.00,0,0.00,BUY_ENTRY
2026-06-06 21:15:00,PANW,SELL,1,198.92,-3.23,-0,-0.02,STOP_LOSS
2026-06-08 15:30:00,AAPL,BUY,1,102.74,0.00,0,0.00,BUY_ENTRY
2026-06-08 21:15:00,AAPL,SELL,1,97.99,-4.75,-0,-0.05,STOP_LOSS
2026-06-09 15:30:00,TQQQ,BUY,1,190.51,0.00,0,0.00,BUY_ENTRY
2026-06-09 21:15:00,TQQQ,SELL,1,193.61,3.10,0,0.02,PROFIT_TAKE
2026-06-11 15:30:00,AAPL,BUY,1,92.71,0.00,0,0.00,BUY_ENTRY
2026-06-11 21:15:00,AAPL,SELL,1,88.81,-3.90,-0,-0.04,STOP_LOSS
2026-06-13 15:30:00,ARM,BUY,1,226.67,0.00,0,0.00,BUY_ENTRY
2026-06-13 21:15:00,ARM,SELL,1,219.85,-6.82,-0,-0.03,STOP_LOSS
2026-06-14 15:30:00,GOOGL,BUY,1,110.63,0.00,0,0.00,BUY_ENTRY
2026-06-14 21:15:00,GOOGL,SELL,1,113.54,2.91,0,0.03,PROFIT_TAKE
2026-06-16 15:30:00,ARM,BUY,1,114.21,0.00,0,0.00,BUY_ENTRY
2026-06-16 21:15:00,ARM,SELL,1,108.92,-5.29,-0,-0.05,STOP_LOSS
2026-06-17 15:30:00,PANW,BUY,1,174.77,0.00,0,0.00,BUY_ENTRY
2026-06-17 21:15:00,PANW,SELL,1,179.34,4.57,0,0.03,PROFIT_TAKE
2026-06-19 15:30:00,SOFI,BUY,1,73.82,0.00,0,0.00,BUY_ENTRY
2026-06-19 21:15:00,SOFI,SELL,1,66.27,-7.55,-0,-0.11,STOP_LOSS
2026-06-20 15:30:00,SMCI,BUY,1,145.95,0.00,0,0.00,BUY_ENTRY
2026-06-20 21:15:00,SMCI,SELL,1,149.14,3.19,0,0.02,PROFIT_TAKE
2026-06-22 15:30:00,AAPL,BUY,1,216.61,0.00,0,0.00,BUY_ENTRY
2026-06-22 21:15:00,AAPL,SELL,1,212.24,-4.37,-0,-0.02,STOP_LOSS
2026-06-24 15:30:00,AAPL,BUY,1,96.48,0.00,0,0.00,BUY_ENTRY
2026-06-24 21:15:00,AAPL,SELL,1,90.34,-6.14,-0,-0.07,STOP_LOSS
2026-06-25 15:30:00,CRWD,BUY,1,59.40,0.00,0,0.00,BUY_ENTRY
2026-06-25 21:15:00,CRWD,SELL,1,63.31,3.91,0,0.06,PROFIT_TAKE
2026-06-27 15:30:00,META,BUY,1,136.67,0.00,0,0.00,BUY_ENTRY
2026-06-27 21:15:00,META,SELL,1,131.16,-5.51,-0,-0.04,STOP_LOSS
2026-06-28 15:30:00,SOFI,BUY,1,130.26,0.00,0,0.00,BUY_ENTRY
2026-06-28 21:15:00,SOFI,SELL,1,133.97,3.71,0,0.03,PROFIT_TAKE
2026-06-30 15:30:00,CRWD,BUY,2,49.84,0.00,0,0.00,BUY_ENTRY
2026-06-30 21:15:00,CRWD,SELL,2,46.52,-6.64,-0,-0.07,STOP_LOSS
2026-07-02 15:30:00,GIS,BUY,1,214.39,0.00,0,0.00,BUY_ENTRY
2026-07-02 21:15:00,GIS,SELL,1,210.98,-3.41,-0,-0.02,STOP_LOSS
2026-07-03 15:30:00,NVDA,BUY,1,167.56,0.00,0,0.00,BUY_ENTRY
2026-07-03 21:15:00,NVDA,SELL,1,171.82,4.26,0,0.02,PROFIT_TAKE
2026-07-05 15:30:00,AAPL,BUY,1,152.25,0.00,0,0.00,BUY_ENTRY
2026-07-05 21:15:00,AAPL,SELL,1,149.19,-3.06,-0,-0.02,STOP_LOSS
2026-07-06 15:30:00,AVGO,BUY,1,82.30,0.00,0,0.00,BUY_ENTRY
2026-07-06 21:15:00,AVGO,SELL,1,75.36,-6.94,-0,-0.09,STOP_LOSS
2026-07-08 15:30:00,GOOGL,BUY,1,204.01,0.00,0,0.00,BUY_ENTRY
2026-07-08 21:15:00,GOOGL,SELL,1,206.36,2.35,0,0.01,PROFIT_TAKE
2026-07-10 15:30:00,META,BUY,3,34.14,0.00,0,0.00,BUY_ENTRY
2026-07-10 21:15:00,META,SELL,3,32.58,-4.68,-0,-0.05,STOP_LOSS
2026-07-11 15:30:00,META,BUY,1,105.49,0.00,0,0.00,BUY_ENTRY
2026-07-11 21:15:00,META,SELL,1,102.91,-2.58,-0,-0.03,STOP_LOSS
2026-07-13 15:30:00,GIS,BUY,1,64.20,0.00,0,0.00,BUY_ENTRY
2026-07-13 21:15:00,GIS,SELL,1,67.05,2.85,0,0.04,PROFIT_TAKE
2026-07-14 15:30:00,GIS,BUY,1,162.73,0.00,0,0.00,BUY_ENTRY
2026-07-14 21:15:00,GIS,SELL,1,157.17,-5.56,-0,-0.04,STOP_LOSS
2026-07-16 15:30:00,COST,BUY,1,87.91,0.00,0,0.00,BUY_ENTRY
2026-07-16 21:15:00,COST,SELL,1,82.99,-4.92,-0,-0.06,STOP_LOSS
2026-07-17 15:30:00,VTOL,BUY,1,147.05,0.00,0,0.00,BUY_ENTRY
2026-07-17 21:15:00,VTOL,SELL,1,150.94,3.89,0,0.03,PROFIT_TAKE
2026-07-19 15:30:00,QQQ,BUY,1,86.85,0.00,0,0.00,BUY_ENTRY
2026-07-19 21:15:00,QQQ,SELL,1,83.21,-3.64,-0,-0.04,STOP_LOSS
2026-07-21 15:30:00,SMCI,BUY,1,111.30,0.00,0,0.00,BUY_ENTRY
2026-07-21 21:15:00,SMCI,SELL,1,105.22,-6.08,-0,-0.06,STOP_LOSS
2026-07-22 15:30:00,GIS,BUY,1,152.56,0.00,0,0.00,BUY_ENTRY
2026-07-22 21:15:00,GIS,SELL,1,157.29,4.73,0,0.03,PROFIT_TAKE
2026-07-24 15:30:00,META,BUY,1,105.33,0.00,0,0.00,BUY_ENTRY
2026-07-24 21:15:00,META,SELL,1,97.81,-7.52,-0,-0.08,STOP_LOSS
2026-07-25 15:30:00,COST,BUY,3,30.12,0.00,0,0.00,BUY_ENTRY
2026-07-25 21:15:00,COST,SELL,3,31.53,4.23,0,0.04,PROFIT_TAKE
2026-07-27 15:30:00,PLTR,BUY,1,80.54,0.00,0,0.00,BUY_ENTRY
2026-07-27 21:15:00,PLTR,SELL,1,76.29,-4.25,-0,-0.06,STOP_LOSS
2026-07-29 15:30:00,GIS,BUY,1,84.10,0.00,0,0.00,BUY_ENTRY
2026-07-29 21:15:00,GIS,SELL,1,79.39,-4.71,-0,-0.06,STOP_LOSS
2026-07-30 15:30:00,MDT,BUY,1,205.96,0.00,0,0.00,BUY_ENTRY
2026-07-30 21:15:00,MDT,SELL,1,200.59,-5.37,-0,-0.03,STOP_LOSS
2026-08-01 15:30:00,AVGO,BUY,2,58.50,0.00,0,0.00,BUY_ENTRY
2026-08-01 21:15:00,AVGO,SELL,2,59.49,1.99,0,0.02,PROFIT_TAKE
2026-08-02 15:30:00,GIS,BUY,2,54.00,0.00,0,0.00,BUY_ENTRY
2026-08-02 21:15:00,GIS,SELL,2,52.42,-3.15,-0,-0.03,STOP_LOSS
2026-08-04 15:30:00,NVDA,BUY,2,43.64,0.00,0,0.00,BUY_ENTRY
2026-08-04 21:15:00,NVDA,SELL,2,45.14,3.00,0,0.03,PROFIT_TAKE
2026-08-06 15:30:00,VTOL,BUY,1,218.76,0.00,0,0.00,BUY_ENTRY
2026-08-06 21:15:00,VTOL,SELL,1,214.66,-4.10,-0,-0.02,STOP_LOSS
2026-08-07 15:30:00,TQQQ,BUY,1,140.02,0.00,0,0.00,BUY_ENTRY
2026-08-07 21:15:00,TQQQ,SELL,1,135.63,-4.39,-0,-0.03,STOP_LOSS
2026-08-09 15:30:00,QQQ,BUY,1,91.00,0.00,0,0.00,BUY_ENTRY
2026-08-09 21:15:00,QQQ,SELL,1,95.44,4.44,0,0.05,PROFIT_TAKE
2026-08-10 15:30:00,AMD,BUY,1,178.45,0.00,0,0.00,BUY_ENTRY
2026-08-10 21:15:00,AMD,SELL,1,174.98,-3.47,-0,-0.02,STOP_LOSS
2026-08-12 15:30:00,PLTR,BUY,1,159.76,0.00,0,0.00,BUY_ENTRY
2026-08-12 21:15:00,PLTR,SELL,1,152.31,-7.45,-0,-0.05,STOP_LOSS
